Logging to ./data/ppo_3l/seed_3
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 5        |
|    ep_rew_mean     | 0.679    |
| time/              |          |
|    fps             | 125      |
|    iterations      | 1        |
|    time_elapsed    | 45       |
|    total_timesteps | 5750     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.676        |
| time/                   |              |
|    fps                  | 165          |
|    iterations           | 2            |
|    time_elapsed         | 69           |
|    total_timesteps      | 11500        |
| train/                  |              |
|    approx_kl            | 0.0007097681 |
|    clip_fraction        | 0.00397      |
|    clip_range           | 0.1          |
|    entropy_loss         | -5.9         |
|    explained_variance   | -3.27        |
|    learning_rate        | 5e-06        |
|    loss                 | 0.136        |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00117     |
|    std                  | 0.183        |
|    value_loss           | 0.321        |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 5             |
|    ep_rew_mean          | 0.678         |
| time/                   |               |
|    fps                  | 186           |
|    iterations           | 3             |
|    time_elapsed         | 92            |
|    total_timesteps      | 17250         |
| train/                  |               |
|    approx_kl            | 0.00070514233 |
|    clip_fraction        | 0.00635       |
|    clip_range           | 0.1           |
|    entropy_loss         | -5.9          |
|    explained_variance   | -2.35         |
|    learning_rate        | 5e-06         |
|    loss                 | 0.111         |
|    n_updates            | 40            |
|    policy_gradient_loss | -0.00192      |
|    std                  | 0.183         |
|    value_loss           | 0.248         |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.682        |
| time/                   |              |
|    fps                  | 196          |
|    iterations           | 4            |
|    time_elapsed         | 117          |
|    total_timesteps      | 23000        |
| train/                  |              |
|    approx_kl            | 0.0014617405 |
|    clip_fraction        | 0.0112       |
|    clip_range           | 0.1          |
|    entropy_loss         | -5.9         |
|    explained_variance   | -1.86        |
|    learning_rate        | 5e-06        |
|    loss                 | 0.084        |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00191     |
|    std                  | 0.183        |
|    value_loss           | 0.206        |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 5             |
|    ep_rew_mean          | 0.676         |
| time/                   |               |
|    fps                  | 205           |
|    iterations           | 5             |
|    time_elapsed         | 139           |
|    total_timesteps      | 28750         |
| train/                  |               |
|    approx_kl            | 0.00083051407 |
|    clip_fraction        | 0.00334       |
|    clip_range           | 0.1           |
|    entropy_loss         | -5.91         |
|    explained_variance   | -1.58         |
|    learning_rate        | 5e-06         |
|    loss                 | 0.0643        |
|    n_updates            | 80            |
|    policy_gradient_loss | -0.00124      |
|    std                  | 0.183         |
|    value_loss           | 0.156         |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.68         |
| time/                   |              |
|    fps                  | 209          |
|    iterations           | 6            |
|    time_elapsed         | 164          |
|    total_timesteps      | 34500        |
| train/                  |              |
|    approx_kl            | 0.0011254163 |
|    clip_fraction        | 0.00598      |
|    clip_range           | 0.1          |
|    entropy_loss         | -5.91        |
|    explained_variance   | -1.33        |
|    learning_rate        | 5e-06        |
|    loss                 | 0.0664       |
|    n_updates            | 100          |
|    policy_gradient_loss | -0.00043     |
|    std                  | 0.183        |
|    value_loss           | 0.139        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.684        |
| time/                   |              |
|    fps                  | 215          |
|    iterations           | 7            |
|    time_elapsed         | 187          |
|    total_timesteps      | 40250        |
| train/                  |              |
|    approx_kl            | 0.0008191767 |
|    clip_fraction        | 0.00505      |
|    clip_range           | 0.1          |
|    entropy_loss         | -5.91        |
|    explained_variance   | -1.3         |
|    learning_rate        | 5e-06        |
|    loss                 | 0.0599       |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.00109     |
|    std                  | 0.183        |
|    value_loss           | 0.126        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.68         |
| time/                   |              |
|    fps                  | 218          |
|    iterations           | 8            |
|    time_elapsed         | 210          |
|    total_timesteps      | 46000        |
| train/                  |              |
|    approx_kl            | 0.0010298938 |
|    clip_fraction        | 0.00612      |
|    clip_range           | 0.1          |
|    entropy_loss         | -5.91        |
|    explained_variance   | -1.23        |
|    learning_rate        | 5e-06        |
|    loss                 | 0.058        |
|    n_updates            | 140          |
|    policy_gradient_loss | -0.00115     |
|    std                  | 0.183        |
|    value_loss           | 0.113        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.678        |
| time/                   |              |
|    fps                  | 221          |
|    iterations           | 9            |
|    time_elapsed         | 233          |
|    total_timesteps      | 51750        |
| train/                  |              |
|    approx_kl            | 0.0011802422 |
|    clip_fraction        | 0.00816      |
|    clip_range           | 0.1          |
|    entropy_loss         | -5.9         |
|    explained_variance   | -1.13        |
|    learning_rate        | 5e-06        |
|    loss                 | 0.0381       |
|    n_updates            | 160          |
|    policy_gradient_loss | -0.00128     |
|    std                  | 0.183        |
|    value_loss           | 0.101        |
------------------------------------------
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 5            |
