Logging to ./data/ppo_2l/seed_2
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 5        |
|    ep_rew_mean     | 0.579    |
| time/              |          |
|    fps             | 72       |
|    iterations      | 1        |
|    time_elapsed    | 51       |
|    total_timesteps | 3750     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.574       |
| time/                   |             |
|    fps                  | 78          |
|    iterations           | 2           |
|    time_elapsed         | 95          |
|    total_timesteps      | 7500        |
| train/                  |             |
|    approx_kl            | 0.008252731 |
|    clip_fraction        | 0.357       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | -7.34       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0762      |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00586    |
|    std                  | 0.055       |
|    value_loss           | 0.135       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5          |
|    ep_rew_mean          | 0.581      |
| time/                   |            |
|    fps                  | 81         |
|    iterations           | 3          |
|    time_elapsed         | 137        |
|    total_timesteps      | 11250      |
| train/                  |            |
|    approx_kl            | 0.01810544 |
|    clip_fraction        | 0.388      |
|    clip_range           | 0.1        |
|    entropy_loss         | -94.8      |
|    explained_variance   | -1.11      |
|    learning_rate        | 1e-05      |
|    loss                 | 0.0499     |
|    n_updates            | 40         |
|    policy_gradient_loss | 0.00413    |
|    std                  | 0.055      |
|    value_loss           | 0.0432     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.575       |
| time/                   |             |
|    fps                  | 83          |
|    iterations           | 4           |
|    time_elapsed         | 180         |
|    total_timesteps      | 15000       |
| train/                  |             |
|    approx_kl            | 0.011761384 |
|    clip_fraction        | 0.43        |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.139       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0538      |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.000956   |
|    std                  | 0.055       |
|    value_loss           | 0.0215      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.578       |
| time/                   |             |
|    fps                  | 84          |
|    iterations           | 5           |
|    time_elapsed         | 221         |
|    total_timesteps      | 18750       |
| train/                  |             |
|    approx_kl            | 0.020746589 |
|    clip_fraction        | 0.436       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.453       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0514      |
|    n_updates            | 80          |
|    policy_gradient_loss | 0.00663     |
|    std                  | 0.055       |
|    value_loss           | 0.0151      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.576       |
| time/                   |             |
|    fps                  | 86          |
|    iterations           | 6           |
|    time_elapsed         | 261         |
|    total_timesteps      | 22500       |
| train/                  |             |
|    approx_kl            | 0.031643678 |
|    clip_fraction        | 0.431       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.529       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0183      |
|    n_updates            | 100         |
|    policy_gradient_loss | 0.00916     |
|    std                  | 0.055       |
|    value_loss           | 0.0154      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.582       |
| time/                   |             |
|    fps                  | 86          |
|    iterations           | 7           |
|    time_elapsed         | 302         |
|    total_timesteps      | 26250       |
| train/                  |             |
|    approx_kl            | 0.016763173 |
|    clip_fraction        | 0.44        |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.575       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0391      |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.00273    |
|    std                  | 0.055       |
|    value_loss           | 0.0133      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.577       |
| time/                   |             |
|    fps                  | 87          |
|    iterations           | 8           |
|    time_elapsed         | 344         |
|    total_timesteps      | 30000       |
| train/                  |             |
|    approx_kl            | 0.017263502 |
|    clip_fraction        | 0.444       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.625       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0573      |
|    n_updates            | 140         |
|    policy_gradient_loss | 0.00544     |
|    std                  | 0.055       |
|    value_loss           | 0.0117      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.582       |
| time/                   |             |
|    fps                  | 87          |
|    iterations           | 9           |
|    time_elapsed         | 385         |
|    total_timesteps      | 33750       |
| train/                  |             |
|    approx_kl            | 0.044558536 |
|    clip_fraction        | 0.446       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.661       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.00532     |
|    n_updates            | 160         |
|    policy_gradient_loss | 0.00379     |
|    std                  | 0.055       |
|    value_loss           | 0.0106      |
-----------------------------------------
----------------------------------------
| eval/                   |            |
|    mean_ep_length       | 5          |
|    mean_reward          | 0.59       |
| rollout/                |            |
|    ep_len_mean          | 5          |
|    ep_rew_mean          | 0.58       |
| time/                   |            |
|    fps                  | 83         |
|    iterations           | 10         |
|    time_elapsed         | 449        |
|    total_timesteps      | 37500      |
| train/                  |            |
|    approx_kl            | 0.02232341 |
|    clip_fraction        | 0.451      |
|    clip_range           | 0.1        |
|    entropy_loss         | -94.8      |
|    explained_variance   | 0.672      |
|    learning_rate        | 1e-05      |
|    loss                 | 0.0448     |
|    n_updates            | 180        |
|    policy_gradient_loss | 0.000548   |
|    std                  | 0.055      |
|    value_loss           | 0.0101     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.585       |
| time/                   |             |
|    fps                  | 83          |
|    iterations           | 11          |
|    time_elapsed         | 491         |
|    total_timesteps      | 41250       |
| train/                  |             |
|    approx_kl            | 0.024672838 |
|    clip_fraction        | 0.453       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.707       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0282      |
|    n_updates            | 200         |
|    policy_gradient_loss | 0.0055      |
|    std                  | 0.055       |
|    value_loss           | 0.0094      |
