Logging to ./data/ppo_3l/seed_3
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 5        |
|    ep_rew_mean     | 0.586    |
| time/              |          |
|    fps             | 82       |
|    iterations      | 1        |
|    time_elapsed    | 57       |
|    total_timesteps | 4750     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.579       |
| time/                   |             |
|    fps                  | 96          |
|    iterations           | 2           |
|    time_elapsed         | 98          |
|    total_timesteps      | 9500        |
| train/                  |             |
|    approx_kl            | 0.013840185 |
|    clip_fraction        | 0.356       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | -4.62       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0473      |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00367    |
|    std                  | 0.055       |
|    value_loss           | 0.089       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5          |
|    ep_rew_mean          | 0.579      |
| time/                   |            |
|    fps                  | 101        |
|    iterations           | 3          |
|    time_elapsed         | 140        |
|    total_timesteps      | 14250      |
| train/                  |            |
|    approx_kl            | 0.02642089 |
|    clip_fraction        | 0.423      |
|    clip_range           | 0.1        |
|    entropy_loss         | -94.8      |
|    explained_variance   | 0.0784     |
|    learning_rate        | 1e-05      |
|    loss                 | 0.0279     |
|    n_updates            | 40         |
|    policy_gradient_loss | 0.00589    |
|    std                  | 0.055      |
|    value_loss           | 0.0239     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.583       |
| time/                   |             |
|    fps                  | 105         |
|    iterations           | 4           |
|    time_elapsed         | 180         |
|    total_timesteps      | 19000       |
| train/                  |             |
|    approx_kl            | 0.018631116 |
|    clip_fraction        | 0.39        |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.4         |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0406      |
|    n_updates            | 60          |
|    policy_gradient_loss | 0.00457     |
|    std                  | 0.055       |
|    value_loss           | 0.0195      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.584       |
| time/                   |             |
|    fps                  | 107         |
|    iterations           | 5           |
|    time_elapsed         | 220         |
|    total_timesteps      | 23750       |
| train/                  |             |
|    approx_kl            | 0.024491176 |
|    clip_fraction        | 0.48        |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.491       |
|    learning_rate        | 1e-05       |
