Logging to ./data/ppo_1l/seed_3
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 5        |
|    ep_rew_mean     | 0.674    |
| time/              |          |
|    fps             | 56       |
|    iterations      | 1        |
|    time_elapsed    | 89       |
|    total_timesteps | 5000     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.679       |
| time/                   |             |
|    fps                  | 60          |
|    iterations           | 2           |
|    time_elapsed         | 164         |
|    total_timesteps      | 10000       |
| train/                  |             |
|    approx_kl            | 0.001256305 |
|    clip_fraction        | 0.0144      |
|    clip_range           | 0.1         |
|    entropy_loss         | -31.1       |
|    explained_variance   | -3.33       |
|    learning_rate        | 1e-06       |
|    loss                 | 0.185       |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0044     |
|    std                  | 0.055       |
|    value_loss           | 0.359       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.678        |
| time/                   |              |
|    fps                  | 62           |
|    iterations           | 3            |
|    time_elapsed         | 239          |
|    total_timesteps      | 15000        |
| train/                  |              |
|    approx_kl            | 0.0012309476 |
|    clip_fraction        | 0.0161       |
|    clip_range           | 0.1          |
|    entropy_loss         | -31.1        |
|    explained_variance   | -2.8         |
|    learning_rate        | 1e-06        |
|    loss                 | 0.174        |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00452     |
|    std                  | 0.055        |
|    value_loss           | 0.316        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.679        |
| time/                   |              |
|    fps                  | 63           |
|    iterations           | 4            |
|    time_elapsed         | 314          |
|    total_timesteps      | 20000        |
| train/                  |              |
|    approx_kl            | 0.0011115556 |
|    clip_fraction        | 0.0109       |
|    clip_range           | 0.1          |
|    entropy_loss         | -31.1        |
|    explained_variance   | -2.56        |
|    learning_rate        | 1e-06        |
|    loss                 | 0.16         |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00388     |
|    std                  | 0.055        |
|    value_loss           | 0.289        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.681        |
| time/                   |              |
|    fps                  | 64           |
|    iterations           | 5            |
|    time_elapsed         | 390          |
|    total_timesteps      | 25000        |
| train/                  |              |
|    approx_kl            | 0.0014073831 |
|    clip_fraction        | 0.0135       |
|    clip_range           | 0.1          |
|    entropy_loss         | -31.1        |
|    explained_variance   | -2.34        |
|    learning_rate        | 1e-06        |
|    loss                 | 0.147        |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.00415     |
|    std                  | 0.055        |
|    value_loss           | 0.266        |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5          |
|    ep_rew_mean          | 0.683      |
| time/                   |            |
|    fps                  | 64         |
|    iterations           | 6          |
|    time_elapsed         | 465        |
|    total_timesteps      | 30000      |
| train/                  |            |
|    approx_kl            | 0.00126927 |
|    clip_fraction        | 0.0154     |
|    clip_range           | 0.1        |
|    entropy_loss         | -31.1      |
|    explained_variance   | -2.11      |
|    learning_rate        | 1e-06      |
|    loss                 | 0.153      |
|    n_updates            | 100        |
|    policy_gradient_loss | -0.00428   |
|    std                  | 0.055      |
|    value_loss           | 0.246      |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.676        |
| time/                   |              |
|    fps                  | 64           |
|    iterations           | 7            |
|    time_elapsed         | 541          |
|    total_timesteps      | 35000        |
| train/                  |              |
|    approx_kl            | 0.0011311562 |
