Logging to ./data/ppo_3l/seed_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 5        |
|    ep_rew_mean     | 0.582    |
| time/              |          |
|    fps             | 81       |
|    iterations      | 1        |
|    time_elapsed    | 58       |
|    total_timesteps | 4750     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.58         |
| time/                   |              |
|    fps                  | 95           |
|    iterations           | 2            |
|    time_elapsed         | 99           |
|    total_timesteps      | 9500         |
| train/                  |              |
|    approx_kl            | 0.0064921943 |
|    clip_fraction        | 0.313        |
|    clip_range           | 0.1          |
|    entropy_loss         | -94.8        |
|    explained_variance   | -4.14        |
|    learning_rate        | 1e-05        |
|    loss                 | 0.0943       |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00233     |
|    std                  | 0.055        |
|    value_loss           | 0.156        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.579       |
| time/                   |             |
|    fps                  | 100         |
|    iterations           | 3           |
|    time_elapsed         | 141         |
|    total_timesteps      | 14250       |
| train/                  |             |
|    approx_kl            | 0.018497655 |
|    clip_fraction        | 0.427       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | -0.251      |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0431      |
|    n_updates            | 40          |
|    policy_gradient_loss | 0.00173     |
|    std                  | 0.055       |
|    value_loss           | 0.0332      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.577       |
| time/                   |             |
|    fps                  | 103         |
|    iterations           | 4           |
|    time_elapsed         | 183         |
|    total_timesteps      | 19000       |
| train/                  |             |
|    approx_kl            | 0.010653143 |
|    clip_fraction        | 0.421       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.203       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0529      |
|    n_updates            | 60          |
|    policy_gradient_loss | 0.00374     |
|    std                  | 0.055       |
|    value_loss           | 0.0221      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.579       |
| time/                   |             |
|    fps                  | 105         |
|    iterations           | 5           |
|    time_elapsed         | 225         |
|    total_timesteps      | 23750       |
| train/                  |             |
|    approx_kl            | 0.021786707 |
|    clip_fraction        | 0.479       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.432       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0451      |
|    n_updates            | 80          |
|    policy_gradient_loss | 0.0152      |
|    std                  | 0.055       |
|    value_loss           | 0.0169      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.579       |
| time/                   |             |
|    fps                  | 106         |
|    iterations           | 6           |
|    time_elapsed         | 266         |
|    total_timesteps      | 28500       |
| train/                  |             |
|    approx_kl            | 0.026253268 |
|    clip_fraction        | 0.458       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.531       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0197      |
|    n_updates            | 100         |
|    policy_gradient_loss | 0.00966     |
|    std                  | 0.055       |
|    value_loss           | 0.0144      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.584       |
| time/                   |             |
|    fps                  | 108         |
|    iterations           | 7           |
|    time_elapsed         | 306         |
|    total_timesteps      | 33250       |
| train/                  |             |
|    approx_kl            | 0.019149706 |
|    clip_fraction        | 0.459       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.595       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0421      |
|    n_updates            | 120         |
|    policy_gradient_loss | 0.00637     |
|    std                  | 0.055       |
|    value_loss           | 0.0133      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.581       |
| time/                   |             |
|    fps                  | 108         |
|    iterations           | 8           |
|    time_elapsed         | 349         |
|    total_timesteps      | 38000       |
| train/                  |             |
|    approx_kl            | 0.019358585 |
|    clip_fraction        | 0.489       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.632       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0598      |
|    n_updates            | 140         |
|    policy_gradient_loss | 0.0117      |
|    std                  | 0.055       |
|    value_loss           | 0.0128      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5          |
|    ep_rew_mean          | 0.579      |
| time/                   |            |
|    fps                  | 109        |
|    iterations           | 9          |
|    time_elapsed         | 389        |
|    total_timesteps      | 42750      |
| train/                  |            |
|    approx_kl            | 0.03560801 |
|    clip_fraction        | 0.521      |
|    clip_range           | 0.1        |
|    entropy_loss         | -94.8      |
|    explained_variance   | 0.658      |
|    learning_rate        | 1e-05      |
|    loss                 | 0.0443     |
|    n_updates            | 160        |
|    policy_gradient_loss | 0.017      |
|    std                  | 0.055      |
|    value_loss           | 0.0114     |
----------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 5           |
|    mean_reward          | 0.6         |
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.58        |
| time/                   |             |
|    fps                  | 104         |
|    iterations           | 10          |
|    time_elapsed         | 455         |
|    total_timesteps      | 47500       |
| train/                  |             |
|    approx_kl            | 0.036009382 |
|    clip_fraction        | 0.464       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.689       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.00366     |
|    n_updates            | 180         |
|    policy_gradient_loss | 0.0092      |
|    std                  | 0.055       |
|    value_loss           | 0.0108      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.583       |
| time/                   |             |
|    fps                  | 105         |
|    iterations           | 11          |
|    time_elapsed         | 495         |
