Logging to ./data/ppo_1l/seed_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 5        |
|    ep_rew_mean     | 0.679    |
| time/              |          |
|    fps             | 56       |
|    iterations      | 1        |
|    time_elapsed    | 88       |
|    total_timesteps | 5000     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.683       |
| time/                   |             |
|    fps                  | 61          |
|    iterations           | 2           |
|    time_elapsed         | 163         |
|    total_timesteps      | 10000       |
| train/                  |             |
|    approx_kl            | 0.001055611 |
|    clip_fraction        | 0.0089      |
|    clip_range           | 0.1         |
|    entropy_loss         | -31.1       |
|    explained_variance   | -7.87       |
|    learning_rate        | 1e-06       |
|    loss                 | 0.221       |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00381    |
|    std                  | 0.055       |
|    value_loss           | 0.416       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.679        |
| time/                   |              |
|    fps                  | 63           |
|    iterations           | 3            |
|    time_elapsed         | 237          |
|    total_timesteps      | 15000        |
| train/                  |              |
|    approx_kl            | 0.0010600875 |
|    clip_fraction        | 0.0129       |
|    clip_range           | 0.1          |
|    entropy_loss         | -31.1        |
|    explained_variance   | -7.06        |
|    learning_rate        | 1e-06        |
|    loss                 | 0.201        |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.0041      |
|    std                  | 0.055        |
|    value_loss           | 0.38         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.683        |
| time/                   |              |
|    fps                  | 64           |
|    iterations           | 4            |
|    time_elapsed         | 312          |
|    total_timesteps      | 20000        |
| train/                  |              |
|    approx_kl            | 0.0011499681 |
|    clip_fraction        | 0.01         |
|    clip_range           | 0.1          |
|    entropy_loss         | -31.1        |
|    explained_variance   | -6.37        |
|    learning_rate        | 1e-06        |
|    loss                 | 0.197        |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00375     |
|    std                  | 0.055        |
|    value_loss           | 0.346        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.679        |
| time/                   |              |
|    fps                  | 64           |
|    iterations           | 5            |
|    time_elapsed         | 386          |
|    total_timesteps      | 25000        |
| train/                  |              |
|    approx_kl            | 0.0010231833 |
|    clip_fraction        | 0.00566      |
|    clip_range           | 0.1          |
|    entropy_loss         | -31.1        |
|    explained_variance   | -5.96        |
|    learning_rate        | 1e-06        |
|    loss                 | 0.193        |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.00359     |
|    std                  | 0.055        |
|    value_loss           | 0.322        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.68         |
| time/                   |              |
|    fps                  | 65           |
|    iterations           | 6            |
|    time_elapsed         | 460          |
|    total_timesteps      | 30000        |
| train/                  |              |
|    approx_kl            | 0.0010699029 |
|    clip_fraction        | 0.00775      |
|    clip_range           | 0.1          |
|    entropy_loss         | -31.1        |
|    explained_variance   | -5.46        |
|    learning_rate        | 1e-06        |
|    loss                 | 0.159        |
|    n_updates            | 100          |
|    policy_gradient_loss | -0.00353     |
|    std                  | 0.055        |
|    value_loss           | 0.299        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.676       |
| time/                   |             |
|    fps                  | 65          |
|    iterations           | 7           |
|    time_elapsed         | 534         |
|    total_timesteps      | 35000       |
| train/                  |             |
|    approx_kl            | 0.001161477 |
|    clip_fraction        | 0.0102      |
|    clip_range           | 0.1         |
|    entropy_loss         | -31.1       |
|    explained_variance   | -4.81       |
|    learning_rate        | 1e-06       |
|    loss                 | 0.155       |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.00392    |
|    std                  | 0.055       |
|    value_loss           | 0.268       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.679        |
| time/                   |              |
|    fps                  | 65           |
|    iterations           | 8            |
|    time_elapsed         | 608          |
|    total_timesteps      | 40000        |
| train/                  |              |
|    approx_kl            | 0.0011554981 |
|    clip_fraction        | 0.00953      |
|    clip_range           | 0.1          |
|    entropy_loss         | -31.1        |
|    explained_variance   | -4.63        |
|    learning_rate        | 1e-06        |
|    loss                 | 0.148        |
|    n_updates            | 140          |
|    policy_gradient_loss | -0.00391     |
|    std                  | 0.055        |
|    value_loss           | 0.256        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.675        |
| time/                   |              |
|    fps                  | 65           |
|    iterations           | 9            |
|    time_elapsed         | 682          |
|    total_timesteps      | 45000        |
| train/                  |              |
|    approx_kl            | 0.0013680534 |
|    clip_fraction        | 0.0126       |
|    clip_range           | 0.1          |
|    entropy_loss         | -31.1        |
|    explained_variance   | -4.24        |
|    learning_rate        | 1e-06        |
|    loss                 | 0.135        |
|    n_updates            | 160          |
|    policy_gradient_loss | -0.00438     |
|    std                  | 0.055        |
|    value_loss           | 0.241        |
------------------------------------------
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 5            |
