Logging to ./data/ppo_3l/seed_2
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 5        |
|    ep_rew_mean     | 0.579    |
| time/              |          |
|    fps             | 81       |
|    iterations      | 1        |
|    time_elapsed    | 58       |
|    total_timesteps | 4750     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.58        |
| time/                   |             |
|    fps                  | 94          |
|    iterations           | 2           |
|    time_elapsed         | 100         |
|    total_timesteps      | 9500        |
| train/                  |             |
|    approx_kl            | 0.007150023 |
|    clip_fraction        | 0.308       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | -7.61       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0852      |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00268    |
|    std                  | 0.055       |
|    value_loss           | 0.136       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.578       |
| time/                   |             |
|    fps                  | 99          |
|    iterations           | 3           |
|    time_elapsed         | 142         |
|    total_timesteps      | 14250       |
| train/                  |             |
|    approx_kl            | 0.008173406 |
|    clip_fraction        | 0.375       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | -1.21       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.046       |
|    n_updates            | 40          |
|    policy_gradient_loss | 0.00227     |
|    std                  | 0.055       |
|    value_loss           | 0.0418      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.583       |
| time/                   |             |
|    fps                  | 103         |
|    iterations           | 4           |
|    time_elapsed         | 183         |
|    total_timesteps      | 19000       |
| train/                  |             |
|    approx_kl            | 0.018997902 |
|    clip_fraction        | 0.459       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.189       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0491      |
|    n_updates            | 60          |
|    policy_gradient_loss | 0.00786     |
|    std                  | 0.055       |
|    value_loss           | 0.0218      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.577       |
| time/                   |             |
|    fps                  | 106         |
|    iterations           | 5           |
|    time_elapsed         | 223         |
|    total_timesteps      | 23750       |
| train/                  |             |
|    approx_kl            | 0.018476771 |
|    clip_fraction        | 0.439       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.429       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0356      |
|    n_updates            | 80          |
|    policy_gradient_loss | 0.00521     |
|    std                  | 0.055       |
|    value_loss           | 0.0175      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.58        |
| time/                   |             |
|    fps                  | 108         |
|    iterations           | 6           |
|    time_elapsed         | 263         |
|    total_timesteps      | 28500       |
| train/                  |             |
|    approx_kl            | 0.027433837 |
|    clip_fraction        | 0.459       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.541       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.031       |
|    n_updates            | 100         |
|    policy_gradient_loss | 0.00713     |
|    std                  | 0.055       |
|    value_loss           | 0.0151      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5          |
|    ep_rew_mean          | 0.581      |
| time/                   |            |
|    fps                  | 109        |
|    iterations           | 7          |
|    time_elapsed         | 303        |
|    total_timesteps      | 33250      |
| train/                  |            |
|    approx_kl            | 0.02838097 |
|    clip_fraction        | 0.462      |
|    clip_range           | 0.1        |
|    entropy_loss         | -94.8      |
|    explained_variance   | 0.592      |
|    learning_rate        | 1e-05      |
|    loss                 | 0.0521     |
|    n_updates            | 120        |
|    policy_gradient_loss | 0.0135     |
|    std                  | 0.055      |
|    value_loss           | 0.0145     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.582       |
| time/                   |             |
|    fps                  | 110         |
|    iterations           | 8           |
|    time_elapsed         | 344         |
|    total_timesteps      | 38000       |
| train/                  |             |
|    approx_kl            | 0.022738114 |
|    clip_fraction        | 0.45        |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.63        |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0361      |
|    n_updates            | 140         |
|    policy_gradient_loss | 0.0123      |
|    std                  | 0.055       |
|    value_loss           | 0.0123      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.58        |
| time/                   |             |
|    fps                  | 110         |
|    iterations           | 9           |
|    time_elapsed         | 385         |
|    total_timesteps      | 42750       |
| train/                  |             |
|    approx_kl            | 0.030970199 |
|    clip_fraction        | 0.515       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.663       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.00386     |
|    n_updates            | 160         |
|    policy_gradient_loss | 0.0155      |
|    std                  | 0.055       |
|    value_loss           | 0.0122      |
-----------------------------------------
----------------------------------------
| eval/                   |            |
|    mean_ep_length       | 5          |
|    mean_reward          | 0.593      |
| rollout/                |            |
|    ep_len_mean          | 5          |
|    ep_rew_mean          | 0.579      |
| time/                   |            |
|    fps                  | 106        |
|    iterations           | 10         |
|    time_elapsed         | 446        |
|    total_timesteps      | 47500      |
| train/                  |            |
|    approx_kl            | 0.01725869 |
|    clip_fraction        | 0.381      |
|    clip_range           | 0.1        |
|    entropy_loss         | -94.8      |
|    explained_variance   | 0.684      |
|    learning_rate        | 1e-05      |
|    loss                 | 0.0768     |
|    n_updates            | 180        |
|    policy_gradient_loss | 0.0032     |
|    std                  | 0.055      |
|    value_loss           | 0.0112     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.581       |
| time/                   |             |
|    fps                  | 107         |
|    iterations           | 11          |
|    time_elapsed         | 485         |
|    total_timesteps      | 52250       |
| train/                  |             |
|    approx_kl            | 0.023623241 |
|    clip_fraction        | 0.458       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.691       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0379      |
|    n_updates            | 200         |
|    policy_gradient_loss | 0.0102      |
|    std                  | 0.055       |
|    value_loss           | 0.0109      |
