Logging to ./data/ppo_2l/seed_2
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 5        |
|    ep_rew_mean     | 0.687    |
| time/              |          |
|    fps             | 121      |
|    iterations      | 1        |
|    time_elapsed    | 63       |
|    total_timesteps | 7750     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.674        |
| time/                   |              |
|    fps                  | 135          |
|    iterations           | 2            |
|    time_elapsed         | 114          |
|    total_timesteps      | 15500        |
| train/                  |              |
|    approx_kl            | 0.0011907865 |
|    clip_fraction        | 0.0113       |
|    clip_range           | 0.1          |
|    entropy_loss         | -31.1        |
|    explained_variance   | -3.23        |
|    learning_rate        | 1e-06        |
|    loss                 | 0.163        |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.002       |
|    std                  | 0.055        |
|    value_loss           | 0.278        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.688       |
| time/                   |             |
|    fps                  | 141         |
|    iterations           | 3           |
|    time_elapsed         | 164         |
|    total_timesteps      | 23250       |
| train/                  |             |
|    approx_kl            | 0.001158949 |
|    clip_fraction        | 0.0124      |
|    clip_range           | 0.1         |
|    entropy_loss         | -31.1       |
|    explained_variance   | -2.95       |
|    learning_rate        | 1e-06       |
|    loss                 | 0.158       |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0019     |
|    std                  | 0.055       |
|    value_loss           | 0.251       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.684       |
| time/                   |             |
|    fps                  | 144         |
|    iterations           | 4           |
|    time_elapsed         | 215         |
|    total_timesteps      | 31000       |
| train/                  |             |
|    approx_kl            | 0.001391106 |
|    clip_fraction        | 0.0224      |
|    clip_range           | 0.1         |
|    entropy_loss         | -31.1       |
|    explained_variance   | -2.78       |
|    learning_rate        | 1e-06       |
|    loss                 | 0.141       |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.00186    |
|    std                  | 0.055       |
|    value_loss           | 0.238       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.687        |
| time/                   |              |
|    fps                  | 146          |
|    iterations           | 5            |
|    time_elapsed         | 264          |
|    total_timesteps      | 38750        |
| train/                  |              |
|    approx_kl            | 0.0016897111 |
|    clip_fraction        | 0.0196       |
|    clip_range           | 0.1          |
|    entropy_loss         | -31.1        |
|    explained_variance   | -2.4         |
|    learning_rate        | 1e-06        |
|    loss                 | 0.128        |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.00165     |
|    std                  | 0.055        |
|    value_loss           | 0.218        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.686       |
| time/                   |             |
|    fps                  | 148         |
|    iterations           | 6           |
|    time_elapsed         | 312         |
|    total_timesteps      | 46500       |
| train/                  |             |
|    approx_kl            | 0.001025236 |
|    clip_fraction        | 0.00694     |
|    clip_range           | 0.1         |
|    entropy_loss         | -31.1       |
|    explained_variance   | -2.27       |
|    learning_rate        | 1e-06       |
|    loss                 | 0.112       |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.00138    |
|    std                  | 0.055       |
|    value_loss           | 0.207       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.686        |
| time/                   |              |
|    fps                  | 149          |
|    iterations           | 7            |
|    time_elapsed         | 361          |
|    total_timesteps      | 54250        |
| train/                  |              |
|    approx_kl            | 0.0013674496 |
|    clip_fraction        | 0.0173       |
|    clip_range           | 0.1          |
|    entropy_loss         | -31.1        |
|    explained_variance   | -2.2         |
|    learning_rate        | 1e-06        |
|    loss                 | 0.111        |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.00209     |
|    std                  | 0.055        |
|    value_loss           | 0.192        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.683        |
| time/                   |              |
|    fps                  | 151          |
|    iterations           | 8            |
|    time_elapsed         | 410          |
|    total_timesteps      | 62000        |
| train/                  |              |
|    approx_kl            | 0.0011093277 |
|    clip_fraction        | 0.011        |
|    clip_range           | 0.1          |
|    entropy_loss         | -31.1        |
|    explained_variance   | -1.91        |
|    learning_rate        | 1e-06        |
|    loss                 | 0.122        |
|    n_updates            | 140          |
|    policy_gradient_loss | -0.00179     |
|    std                  | 0.055        |
|    value_loss           | 0.184        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.683        |
| time/                   |              |
|    fps                  | 151          |
|    iterations           | 9            |
|    time_elapsed         | 459          |
|    total_timesteps      | 69750        |
| train/                  |              |
|    approx_kl            | 0.0013555109 |
|    clip_fraction        | 0.0137       |
|    clip_range           | 0.1          |
|    entropy_loss         | -31.1        |
|    explained_variance   | -1.85        |
|    learning_rate        | 1e-06        |
|    loss                 | 0.11         |
|    n_updates            | 160          |
|    policy_gradient_loss | -0.00247     |
|    std                  | 0.055        |
|    value_loss           | 0.172        |
------------------------------------------
------------------------------------------
| eval/                   |              |
