Logging to ./data/ppo_2l/seed_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 5        |
|    ep_rew_mean     | 0.684    |
| time/              |          |
|    fps             | 124      |
|    iterations      | 1        |
|    time_elapsed    | 62       |
|    total_timesteps | 7750     |
---------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 5             |
|    ep_rew_mean          | 0.679         |
| time/                   |               |
|    fps                  | 137           |
|    iterations           | 2             |
|    time_elapsed         | 112           |
|    total_timesteps      | 15500         |
| train/                  |               |
|    approx_kl            | 0.00081335846 |
|    clip_fraction        | 0.00578       |
|    clip_range           | 0.1           |
|    entropy_loss         | -31.1         |
|    explained_variance   | -7.92         |
|    learning_rate        | 1e-06         |
|    loss                 | 0.235         |
|    n_updates            | 20            |
|    policy_gradient_loss | -0.000459     |
|    std                  | 0.055         |
|    value_loss           | 0.415         |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.684        |
| time/                   |              |
|    fps                  | 144          |
|    iterations           | 3            |
|    time_elapsed         | 160          |
|    total_timesteps      | 23250        |
| train/                  |              |
|    approx_kl            | 0.0012206768 |
|    clip_fraction        | 0.0138       |
|    clip_range           | 0.1          |
|    entropy_loss         | -31.1        |
|    explained_variance   | -7.05        |
|    learning_rate        | 1e-06        |
|    loss                 | 0.202        |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00138     |
|    std                  | 0.055        |
|    value_loss           | 0.384        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.682        |
| time/                   |              |
|    fps                  | 149          |
|    iterations           | 4            |
|    time_elapsed         | 207          |
|    total_timesteps      | 31000        |
| train/                  |              |
|    approx_kl            | 0.0010915615 |
|    clip_fraction        | 0.00724      |
|    clip_range           | 0.1          |
|    entropy_loss         | -31.1        |
|    explained_variance   | -6.52        |
|    learning_rate        | 1e-06        |
|    loss                 | 0.194        |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00195     |
|    std                  | 0.055        |
|    value_loss           | 0.353        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.682        |
| time/                   |              |
|    fps                  | 151          |
|    iterations           | 5            |
|    time_elapsed         | 255          |
|    total_timesteps      | 38750        |
| train/                  |              |
|    approx_kl            | 0.0010242118 |
|    clip_fraction        | 0.0123       |
|    clip_range           | 0.1          |
|    entropy_loss         | -31.1        |
|    explained_variance   | -5.82        |
|    learning_rate        | 1e-06        |
|    loss                 | 0.174        |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.0022      |
|    std                  | 0.055        |
|    value_loss           | 0.315        |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 5             |
|    ep_rew_mean          | 0.682         |
| time/                   |               |
|    fps                  | 153           |
|    iterations           | 6             |
|    time_elapsed         | 303           |
|    total_timesteps      | 46500         |
| train/                  |               |
|    approx_kl            | 0.00094599876 |
|    clip_fraction        | 0.00881       |
|    clip_range           | 0.1           |
|    entropy_loss         | -31.1         |
|    explained_variance   | -5.34         |
|    learning_rate        | 1e-06         |
|    loss                 | 0.173         |
|    n_updates            | 100           |
|    policy_gradient_loss | -0.000635     |
|    std                  | 0.055         |
|    value_loss           | 0.289         |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.684        |
| time/                   |              |
|    fps                  | 154          |
|    iterations           | 7            |
|    time_elapsed         | 350          |
|    total_timesteps      | 54250        |
| train/                  |              |
|    approx_kl            | 0.0009310654 |
|    clip_fraction        | 0.00578      |
|    clip_range           | 0.1          |
|    entropy_loss         | -31.1        |
|    explained_variance   | -4.93        |
|    learning_rate        | 1e-06        |
|    loss                 | 0.145        |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.00173     |
|    std                  | 0.055        |
|    value_loss           | 0.278        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.681        |
| time/                   |              |
|    fps                  | 155          |
|    iterations           | 8            |
|    time_elapsed         | 398          |
|    total_timesteps      | 62000        |
| train/                  |              |
|    approx_kl            | 0.0010856418 |
|    clip_fraction        | 0.0108       |
|    clip_range           | 0.1          |
|    entropy_loss         | -31.1        |
|    explained_variance   | -4.68        |
|    learning_rate        | 1e-06        |
