Logging to ./data/ppo_2l/seed_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 5        |
|    ep_rew_mean     | 0.578    |
| time/              |          |
|    fps             | 72       |
|    iterations      | 1        |
|    time_elapsed    | 51       |
|    total_timesteps | 3750     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.575       |
| time/                   |             |
|    fps                  | 80          |
|    iterations           | 2           |
|    time_elapsed         | 93          |
|    total_timesteps      | 7500        |
| train/                  |             |
|    approx_kl            | 0.007996517 |
|    clip_fraction        | 0.341       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | -4.02       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.094       |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00497    |
|    std                  | 0.055       |
|    value_loss           | 0.141       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5          |
|    ep_rew_mean          | 0.579      |
| time/                   |            |
|    fps                  | 83         |
|    iterations           | 3          |
|    time_elapsed         | 134        |
|    total_timesteps      | 11250      |
| train/                  |            |
|    approx_kl            | 0.04116966 |
|    clip_fraction        | 0.369      |
|    clip_range           | 0.1        |
|    entropy_loss         | -94.8      |
|    explained_variance   | -0.265     |
|    learning_rate        | 1e-05      |
|    loss                 | 0.0184     |
|    n_updates            | 40         |
|    policy_gradient_loss | -0.00448   |
|    std                  | 0.055      |
|    value_loss           | 0.0334     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.578       |
| time/                   |             |
|    fps                  | 84          |
|    iterations           | 4           |
|    time_elapsed         | 176         |
|    total_timesteps      | 15000       |
| train/                  |             |
|    approx_kl            | 0.010356057 |
|    clip_fraction        | 0.391       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.196       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0511      |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.000169   |
|    std                  | 0.055       |
|    value_loss           | 0.0227      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.582       |
| time/                   |             |
|    fps                  | 85          |
|    iterations           | 5           |
|    time_elapsed         | 218         |
|    total_timesteps      | 18750       |
| train/                  |             |
|    approx_kl            | 0.010910955 |
|    clip_fraction        | 0.449       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.375       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0598      |
|    n_updates            | 80          |
|    policy_gradient_loss | 0.000801    |
|    std                  | 0.055       |
|    value_loss           | 0.0184      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.579       |
| time/                   |             |
|    fps                  | 86          |
|    iterations           | 6           |
|    time_elapsed         | 259         |
|    total_timesteps      | 22500       |
| train/                  |             |
|    approx_kl            | 0.014879197 |
|    clip_fraction        | 0.455       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.488       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0565      |
|    n_updates            | 100         |
|    policy_gradient_loss | 0.00484     |
|    std                  | 0.055       |
|    value_loss           | 0.0156      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.577       |
| time/                   |             |
|    fps                  | 87          |
|    iterations           | 7           |
|    time_elapsed         | 300         |
|    total_timesteps      | 26250       |
| train/                  |             |
|    approx_kl            | 0.022980854 |
|    clip_fraction        | 0.406       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.563       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0491      |
|    n_updates            | 120         |
|    policy_gradient_loss | 0.00146     |
|    std                  | 0.055       |
|    value_loss           | 0.0139      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.579       |
| time/                   |             |
|    fps                  | 88          |
|    iterations           | 8           |
|    time_elapsed         | 340         |
|    total_timesteps      | 30000       |
| train/                  |             |
|    approx_kl            | 0.027293028 |
|    clip_fraction        | 0.393       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.608       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0352      |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.00289    |
|    std                  | 0.055       |
|    value_loss           | 0.0124      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.579       |
| time/                   |             |
|    fps                  | 88          |
|    iterations           | 9           |
|    time_elapsed         | 381         |
|    total_timesteps      | 33750       |
| train/                  |             |
|    approx_kl            | 0.024413269 |
|    clip_fraction        | 0.479       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.626       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0618      |
|    n_updates            | 160         |
|    policy_gradient_loss | 0.00759     |
|    std                  | 0.055       |
|    value_loss           | 0.0116      |
-----------------------------------------
----------------------------------------
| eval/                   |            |
|    mean_ep_length       | 5          |
|    mean_reward          | 0.594      |
| rollout/                |            |
|    ep_len_mean          | 5          |
|    ep_rew_mean          | 0.582      |
| time/                   |            |
|    fps                  | 83         |
|    iterations           | 10         |
|    time_elapsed         | 448        |
|    total_timesteps      | 37500      |
| train/                  |            |
|    approx_kl            | 0.02993982 |
|    clip_fraction        | 0.451      |
|    clip_range           | 0.1        |
|    entropy_loss         | -94.8      |
|    explained_variance   | 0.627      |
|    learning_rate        | 1e-05      |
|    loss                 | 0.0305     |
|    n_updates            | 180        |
|    policy_gradient_loss | 0.00417    |
|    std                  | 0.055      |
|    value_loss           | 0.0125     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.584       |
| time/                   |             |
|    fps                  | 84          |
|    iterations           | 11          |
|    time_elapsed         | 489         |
|    total_timesteps      | 41250       |
| train/                  |             |
|    approx_kl            | 0.030196246 |
|    clip_fraction        | 0.439       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.668       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0278      |
|    n_updates            | 200         |
|    policy_gradient_loss | 0.00218     |
|    std                  | 0.055       |
|    value_loss           | 0.0105      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.579       |
| time/                   |             |
|    fps                  | 84          |
|    iterations           | 12          |
|    time_elapsed         | 530         |
|    total_timesteps      | 45000       |
| train/                  |             |
|    approx_kl            | 0.028656159 |
|    clip_fraction        | 0.467       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.677       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.072       |
|    n_updates            | 220         |
|    policy_gradient_loss | 0.013       |
|    std                  | 0.055       |
|    value_loss           | 0.00943     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.581       |
| time/                   |             |
|    fps                  | 85          |
|    iterations           | 13          |
|    time_elapsed         | 572         |
|    total_timesteps      | 48750       |
| train/                  |             |
|    approx_kl            | 0.023547199 |
|    clip_fraction        | 0.487       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.69        |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0271      |
|    n_updates            | 240         |
|    policy_gradient_loss | 0.00327     |
|    std                  | 0.055       |
|    value_loss           | 0.0106      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.586       |
| time/                   |             |
|    fps                  | 85          |
|    iterations           | 14          |
|    time_elapsed         | 614         |
|    total_timesteps      | 52500       |
| train/                  |             |
|    approx_kl            | 0.013787618 |
|    clip_fraction        | 0.447       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.713       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0443      |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.00253    |
|    std                  | 0.055       |
|    value_loss           | 0.0098      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.585       |
| time/                   |             |
|    fps                  | 85          |
|    iterations           | 15          |
|    time_elapsed         | 655         |
|    total_timesteps      | 56250       |
| train/                  |             |
|    approx_kl            | 0.032122467 |
|    clip_fraction        | 0.474       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.713       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0286      |
|    n_updates            | 280         |
|    policy_gradient_loss | 0.00798     |
|    std                  | 0.055       |
|    value_loss           | 0.00868     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.585       |
| time/                   |             |
|    fps                  | 86          |
|    iterations           | 16          |
|    time_elapsed         | 695         |
|    total_timesteps      | 60000       |
| train/                  |             |
|    approx_kl            | 0.021813212 |
|    clip_fraction        | 0.457       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.727       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0569      |
|    n_updates            | 300         |
|    policy_gradient_loss | 0.00605     |
|    std                  | 0.055       |
|    value_loss           | 0.00803     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.585       |
| time/                   |             |
|    fps                  | 86          |
|    iterations           | 17          |
|    time_elapsed         | 736         |
|    total_timesteps      | 63750       |
| train/                  |             |
|    approx_kl            | 0.017704815 |
|    clip_fraction        | 0.449       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.735       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0437      |
|    n_updates            | 320         |
|    policy_gradient_loss | 0.00335     |
|    std                  | 0.055       |
|    value_loss           | 0.00882     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
