Logging to ./data/ppo_2l/seed_3
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 5        |
|    ep_rew_mean     | 0.677    |
| time/              |          |
|    fps             | 120      |
|    iterations      | 1        |
|    time_elapsed    | 64       |
|    total_timesteps | 7750     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.681        |
| time/                   |              |
|    fps                  | 137          |
|    iterations           | 2            |
|    time_elapsed         | 112          |
|    total_timesteps      | 15500        |
| train/                  |              |
|    approx_kl            | 0.0012313263 |
|    clip_fraction        | 0.0153       |
|    clip_range           | 0.1          |
|    entropy_loss         | -31.1        |
|    explained_variance   | -3.26        |
|    learning_rate        | 1e-06        |
|    loss                 | 0.196        |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00153     |
|    std                  | 0.055        |
|    value_loss           | 0.36         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.685        |
| time/                   |              |
|    fps                  | 144          |
|    iterations           | 3            |
|    time_elapsed         | 161          |
|    total_timesteps      | 23250        |
| train/                  |              |
|    approx_kl            | 0.0011139368 |
|    clip_fraction        | 0.0146       |
|    clip_range           | 0.1          |
|    entropy_loss         | -31.1        |
|    explained_variance   | -2.92        |
|    learning_rate        | 1e-06        |
|    loss                 | 0.176        |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00128     |
|    std                  | 0.055        |
|    value_loss           | 0.325        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.683        |
| time/                   |              |
|    fps                  | 148          |
|    iterations           | 4            |
|    time_elapsed         | 209          |
|    total_timesteps      | 31000        |
| train/                  |              |
|    approx_kl            | 0.0009143385 |
|    clip_fraction        | 0.00427      |
|    clip_range           | 0.1          |
|    entropy_loss         | -31.1        |
|    explained_variance   | -2.71        |
|    learning_rate        | 1e-06        |
|    loss                 | 0.153        |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00233     |
|    std                  | 0.055        |
|    value_loss           | 0.299        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.676       |
| time/                   |             |
|    fps                  | 149         |
|    iterations           | 5           |
|    time_elapsed         | 258         |
|    total_timesteps      | 38750       |
| train/                  |             |
|    approx_kl            | 0.000740341 |
|    clip_fraction        | 0.00235     |
|    clip_range           | 0.1         |
|    entropy_loss         | -31.1       |
|    explained_variance   | -2.31       |
|    learning_rate        | 1e-06       |
|    loss                 | 0.146       |
|    n_updates            | 80          |
