Logging to ./data/ppo_2l/seed_3
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 5        |
|    ep_rew_mean     | 0.582    |
| time/              |          |
|    fps             | 71       |
|    iterations      | 1        |
|    time_elapsed    | 52       |
|    total_timesteps | 3750     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.579       |
| time/                   |             |
|    fps                  | 79          |
|    iterations           | 2           |
|    time_elapsed         | 94          |
|    total_timesteps      | 7500        |
| train/                  |             |
|    approx_kl            | 0.009492418 |
|    clip_fraction        | 0.387       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | -4.36       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.07        |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00697    |
|    std                  | 0.055       |
|    value_loss           | 0.0931      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5          |
|    ep_rew_mean          | 0.579      |
| time/                   |            |
|    fps                  | 82         |
|    iterations           | 3          |
|    time_elapsed         | 136        |
|    total_timesteps      | 11250      |
| train/                  |            |
|    approx_kl            | 0.01213827 |
|    clip_fraction        | 0.393      |
|    clip_range           | 0.1        |
|    entropy_loss         | -94.8      |
|    explained_variance   | 0.0933     |
|    learning_rate        | 1e-05      |
|    loss                 | 0.0575     |
|    n_updates            | 40         |
|    policy_gradient_loss | -0.00101   |
|    std                  | 0.055      |
|    value_loss           | 0.025      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.583       |
| time/                   |             |
|    fps                  | 84          |
|    iterations           | 4           |
|    time_elapsed         | 178         |
|    total_timesteps      | 15000       |
| train/                  |             |
|    approx_kl            | 0.015063176 |
|    clip_fraction        | 0.391       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.371       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0566      |
|    n_updates            | 60          |
|    policy_gradient_loss | 0.0103      |
|    std                  | 0.055       |
|    value_loss           | 0.0182      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.582       |
| time/                   |             |
|    fps                  | 85          |
|    iterations           | 5           |
|    time_elapsed         | 219         |
|    total_timesteps      | 18750       |
| train/                  |             |
|    approx_kl            | 0.016553402 |
|    clip_fraction        | 0.414       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.505       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.051       |
|    n_updates            | 80          |
|    policy_gradient_loss | 0.00532     |
|    std                  | 0.055       |
|    value_loss           | 0.0167      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.576       |
| time/                   |             |
|    fps                  | 86          |
|    iterations           | 6           |
|    time_elapsed         | 260         |
|    total_timesteps      | 22500       |
| train/                  |             |
|    approx_kl            | 0.019484226 |
|    clip_fraction        | 0.448       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.522       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0274      |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.000294   |
|    std                  | 0.055       |
|    value_loss           | 0.0142      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.581       |
| time/                   |             |
|    fps                  | 87          |
|    iterations           | 7           |
|    time_elapsed         | 300         |
|    total_timesteps      | 26250       |
| train/                  |             |
|    approx_kl            | 0.016959848 |
|    clip_fraction        | 0.426       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.59        |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0647      |
|    n_updates            | 120         |
|    policy_gradient_loss | 0.00226     |
|    std                  | 0.055       |
|    value_loss           | 0.0133      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5          |
|    ep_rew_mean          | 0.587      |
| time/                   |            |
|    fps                  | 87         |
|    iterations           | 8          |
|    time_elapsed         | 342        |
|    total_timesteps      | 30000      |
| train/                  |            |
|    approx_kl            | 0.04993833 |
|    clip_fraction        | 0.429      |
|    clip_range           | 0.1        |
|    entropy_loss         | -94.8      |
|    explained_variance   | 0.61       |
|    learning_rate        | 1e-05      |
|    loss                 | 0.0112     |
|    n_updates            | 140        |
|    policy_gradient_loss | 0.000725   |
|    std                  | 0.055      |
|    value_loss           | 0.0128     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.582       |
| time/                   |             |
|    fps                  | 87          |
|    iterations           | 9           |
|    time_elapsed         | 384         |
|    total_timesteps      | 33750       |
| train/                  |             |
|    approx_kl            | 0.022466738 |
|    clip_fraction        | 0.48        |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.617       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0504      |
|    n_updates            | 160         |
|    policy_gradient_loss | 0.00278     |
|    std                  | 0.055       |
|    value_loss           | 0.012       |
-----------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 5           |
|    mean_reward          | 0.615       |
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.587       |
| time/                   |             |
|    fps                  | 83          |
|    iterations           | 10          |
|    time_elapsed         | 447         |
|    total_timesteps      | 37500       |
| train/                  |             |
|    approx_kl            | 0.044830374 |
|    clip_fraction        | 0.443       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.649       |
|    learning_rate        | 1e-05       |
|    loss                 | -0.0147     |
|    n_updates            | 180         |
|    policy_gradient_loss | 0.00401     |
|    std                  | 0.055       |
|    value_loss           | 0.0111      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.582       |
| time/                   |             |
|    fps                  | 84          |
|    iterations           | 11          |
|    time_elapsed         | 489         |
