Logging to ./data/ppo_1l/seed_2
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 5        |
|    ep_rew_mean     | 0.578    |
| time/              |          |
|    fps             | 11       |
|    iterations      | 1        |
|    time_elapsed    | 226      |
|    total_timesteps | 2500     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.578        |
| time/                   |              |
|    fps                  | 11           |
|    iterations           | 2            |
|    time_elapsed         | 453          |
|    total_timesteps      | 5000         |
| train/                  |              |
|    approx_kl            | 0.0077587944 |
|    clip_fraction        | 0.368        |
|    clip_range           | 0.1          |
|    entropy_loss         | -94.8        |
|    explained_variance   | -6.89        |
|    learning_rate        | 1e-05        |
|    loss                 | 0.0773       |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.0335      |
|    std                  | 0.055        |
|    value_loss           | 0.129        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.579       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 3           |
|    time_elapsed         | 679         |
|    total_timesteps      | 7500        |
| train/                  |             |
|    approx_kl            | 0.008287588 |
|    clip_fraction        | 0.355       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | -0.866      |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0615      |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0329     |
|    std                  | 0.055       |
|    value_loss           | 0.0376      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.587       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 4           |
|    time_elapsed         | 902         |
|    total_timesteps      | 10000       |
| train/                  |             |
|    approx_kl            | 0.006889393 |
|    clip_fraction        | 0.386       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.14        |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0559      |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0354     |
|    std                  | 0.055       |
|    value_loss           | 0.0217      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.583        |
| time/                   |              |
|    fps                  | 11           |
|    iterations           | 5            |
|    time_elapsed         | 1126         |
|    total_timesteps      | 12500        |
| train/                  |              |
|    approx_kl            | 0.0073179146 |
|    clip_fraction        | 0.378        |
|    clip_range           | 0.1          |
|    entropy_loss         | -94.8        |
|    explained_variance   | 0.399        |
|    learning_rate        | 1e-05        |
|    loss                 | 0.0533       |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.0351      |
|    std                  | 0.055        |
|    value_loss           | 0.0168       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.578       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 6           |
|    time_elapsed         | 1351        |
|    total_timesteps      | 15000       |
| train/                  |             |
|    approx_kl            | 0.006508253 |
|    clip_fraction        | 0.352       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.54        |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0609      |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.0333     |
|    std                  | 0.055       |
|    value_loss           | 0.0135      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.581       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 7           |
|    time_elapsed         | 1576        |
|    total_timesteps      | 17500       |
| train/                  |             |
|    approx_kl            | 0.008819456 |
|    clip_fraction        | 0.39        |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.573       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0536      |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.0351     |
|    std                  | 0.055       |
|    value_loss           | 0.0127      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.584        |
| time/                   |              |
|    fps                  | 11           |
|    iterations           | 8            |
|    time_elapsed         | 1800         |
|    total_timesteps      | 20000        |
| train/                  |              |
|    approx_kl            | 0.0073080948 |
|    clip_fraction        | 0.376        |
|    clip_range           | 0.1          |
|    entropy_loss         | -94.8        |
|    explained_variance   | 0.623        |
|    learning_rate        | 1e-05        |
|    loss                 | 0.0553       |
|    n_updates            | 140          |
|    policy_gradient_loss | -0.0346      |
|    std                  | 0.055        |
|    value_loss           | 0.0113       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.581        |
| time/                   |              |
|    fps                  | 11           |
|    iterations           | 9            |
|    time_elapsed         | 2024         |
|    total_timesteps      | 22500        |
| train/                  |              |
|    approx_kl            | 0.0063806386 |
|    clip_fraction        | 0.361        |
|    clip_range           | 0.1          |
|    entropy_loss         | -94.8        |
|    explained_variance   | 0.632        |
|    learning_rate        | 1e-05        |
|    loss                 | 0.054        |
|    n_updates            | 160          |
|    policy_gradient_loss | -0.0344      |
|    std                  | 0.055        |
|    value_loss           | 0.0111       |
------------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 5           |
|    mean_reward          | 0.592       |
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.58        |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 10          |
|    time_elapsed         | 2268        |
|    total_timesteps      | 25000       |
| train/                  |             |
|    approx_kl            | 0.008137846 |
|    clip_fraction        | 0.378       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.676       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0472      |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.036      |
|    std                  | 0.055       |
|    value_loss           | 0.00987     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.584       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 11          |
|    time_elapsed         | 2493        |
|    total_timesteps      | 27500       |
| train/                  |             |
|    approx_kl            | 0.007828591 |
|    clip_fraction        | 0.374       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.694       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0504      |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.0346     |
|    std                  | 0.055       |
|    value_loss           | 0.00933     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.586       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 12          |
|    time_elapsed         | 2720        |
|    total_timesteps      | 30000       |
| train/                  |             |
|    approx_kl            | 0.008609481 |
|    clip_fraction        | 0.417       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.709       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0512      |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.0377     |
|    std                  | 0.055       |
|    value_loss           | 0.00894     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.584       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 13          |
|    time_elapsed         | 2941        |
|    total_timesteps      | 32500       |
| train/                  |             |
|    approx_kl            | 0.008790894 |
|    clip_fraction        | 0.404       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.718       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0489      |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.0362     |
|    std                  | 0.055       |
|    value_loss           | 0.0087      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.584        |
| time/                   |              |
|    fps                  | 11           |
|    iterations           | 14           |
|    time_elapsed         | 3166         |
|    total_timesteps      | 35000        |
| train/                  |              |
|    approx_kl            | 0.0076631024 |
|    clip_fraction        | 0.375        |
|    clip_range           | 0.1          |
|    entropy_loss         | -94.8        |
|    explained_variance   | 0.717        |
|    learning_rate        | 1e-05        |
|    loss                 | 0.0534       |
|    n_updates            | 260          |
|    policy_gradient_loss | -0.0349      |
|    std                  | 0.055        |
|    value_loss           | 0.00872      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.587       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 15          |
|    time_elapsed         | 3392        |
|    total_timesteps      | 37500       |
| train/                  |             |
|    approx_kl            | 0.006376258 |
|    clip_fraction        | 0.376       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.742       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.054       |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.0349     |
|    std                  | 0.055       |
|    value_loss           | 0.00794     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.59        |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 16          |
|    time_elapsed         | 3617        |
|    total_timesteps      | 40000       |
| train/                  |             |
|    approx_kl            | 0.008511558 |
|    clip_fraction        | 0.39        |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.721       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0524      |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.0362     |
|    std                  | 0.055       |
|    value_loss           | 0.00866     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.591       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 17          |
|    time_elapsed         | 3841        |
|    total_timesteps      | 42500       |
| train/                  |             |
|    approx_kl            | 0.008979792 |
|    clip_fraction        | 0.394       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.745       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0591      |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.0354     |
|    std                  | 0.055       |
|    value_loss           | 0.00796     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
