Logging to ./data/ppo_3l/seed_2
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 5        |
|    ep_rew_mean     | 0.679    |
| time/              |          |
|    fps             | 128      |
|    iterations      | 1        |
|    time_elapsed    | 44       |
|    total_timesteps | 5750     |
---------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 5             |
|    ep_rew_mean          | 0.679         |
| time/                   |               |
|    fps                  | 167           |
|    iterations           | 2             |
|    time_elapsed         | 68            |
|    total_timesteps      | 11500         |
| train/                  |               |
|    approx_kl            | 0.00080170453 |
|    clip_fraction        | 0.00297       |
|    clip_range           | 0.1           |
|    entropy_loss         | -5.9          |
|    explained_variance   | -3.31         |
|    learning_rate        | 5e-06         |
|    loss                 | 0.11          |
|    n_updates            | 20            |
|    policy_gradient_loss | -0.000418     |
|    std                  | 0.183         |
|    value_loss           | 0.243         |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.679        |
| time/                   |              |
|    fps                  | 188          |
|    iterations           | 3            |
|    time_elapsed         | 91           |
|    total_timesteps      | 17250        |
| train/                  |              |
|    approx_kl            | 0.0012916666 |
|    clip_fraction        | 0.00797      |
|    clip_range           | 0.1          |
|    entropy_loss         | -5.9         |
|    explained_variance   | -2.72        |
|    learning_rate        | 5e-06        |
|    loss                 | 0.0989       |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00217     |
|    std                  | 0.183        |
|    value_loss           | 0.216        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.685        |
| time/                   |              |
|    fps                  | 201          |
|    iterations           | 4            |
|    time_elapsed         | 114          |
|    total_timesteps      | 23000        |
| train/                  |              |
|    approx_kl            | 0.0009690533 |
|    clip_fraction        | 0.00455      |
|    clip_range           | 0.1          |
|    entropy_loss         | -5.9         |
|    explained_variance   | -2.3         |
|    learning_rate        | 5e-06        |
|    loss                 | 0.0857       |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00182     |
|    std                  | 0.183        |
|    value_loss           | 0.181        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.675        |
| time/                   |              |
|    fps                  | 210          |
|    iterations           | 5            |
|    time_elapsed         | 136          |
|    total_timesteps      | 28750        |
| train/                  |              |
|    approx_kl            | 0.0010994207 |
|    clip_fraction        | 0.00398      |
|    clip_range           | 0.1          |
|    entropy_loss         | -5.9         |
|    explained_variance   | -1.72        |
|    learning_rate        | 5e-06        |
|    loss                 | 0.0544       |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.000933    |
|    std                  | 0.183        |
|    value_loss           | 0.148        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.681        |
| time/                   |              |
|    fps                  | 215          |
|    iterations           | 6            |
|    time_elapsed         | 160          |
|    total_timesteps      | 34500        |
| train/                  |              |
|    approx_kl            | 0.0011198717 |
|    clip_fraction        | 0.00939      |
|    clip_range           | 0.1          |
|    entropy_loss         | -5.9         |
|    explained_variance   | -1.49        |
|    learning_rate        | 5e-06        |
|    loss                 | 0.0591       |
|    n_updates            | 100          |
|    policy_gradient_loss | -0.00104     |
|    std                  | 0.183        |
|    value_loss           | 0.128        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.688        |
| time/                   |              |
|    fps                  | 220          |
|    iterations           | 7            |
|    time_elapsed         | 182          |
|    total_timesteps      | 40250        |
| train/                  |              |
|    approx_kl            | 0.0010673605 |
|    clip_fraction        | 0.00534      |
|    clip_range           | 0.1          |
|    entropy_loss         | -5.9         |
|    explained_variance   | -1.37        |
|    learning_rate        | 5e-06        |
|    loss                 | 0.0534       |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.00133     |
|    std                  | 0.183        |
|    value_loss           | 0.117        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.682        |
| time/                   |              |
|    fps                  | 222          |
|    iterations           | 8            |
|    time_elapsed         | 206          |
|    total_timesteps      | 46000        |
| train/                  |              |
|    approx_kl            | 0.0013963213 |
|    clip_fraction        | 0.00902      |
|    clip_range           | 0.1          |
|    entropy_loss         | -5.9         |
|    explained_variance   | -1.18        |
|    learning_rate        | 5e-06        |
|    loss                 | 0.0506       |
|    n_updates            | 140          |
|    policy_gradient_loss | -0.00146     |
|    std                  | 0.183        |
|    value_loss           | 0.099        |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 5             |
|    ep_rew_mean          | 0.68          |
| time/                   |               |
|    fps                  | 226           |
|    iterations           | 9             |
|    time_elapsed         | 228           |
|    total_timesteps      | 51750         |
| train/                  |               |
|    approx_kl            | 0.00079172733 |
|    clip_fraction        | 0.00267       |
|    clip_range           | 0.1           |
|    entropy_loss         | -5.9          |
|    explained_variance   | -0.977        |
|    learning_rate        | 5e-06         |
|    loss                 | 0.0392        |
|    n_updates            | 160           |
|    policy_gradient_loss | -0.000829     |
|    std                  | 0.183         |
|    value_loss           | 0.0943        |
-------------------------------------------
------------------------------------------
| eval/                   |              |
