Logging to ./data/ppo_1l/seed_2
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 5        |
|    ep_rew_mean     | 0.679    |
| time/              |          |
|    fps             | 56       |
|    iterations      | 1        |
|    time_elapsed    | 88       |
|    total_timesteps | 5000     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.682        |
| time/                   |              |
|    fps                  | 60           |
|    iterations           | 2            |
|    time_elapsed         | 165          |
|    total_timesteps      | 10000        |
| train/                  |              |
|    approx_kl            | 0.0013034223 |
|    clip_fraction        | 0.012        |
|    clip_range           | 0.1          |
|    entropy_loss         | -31.1        |
|    explained_variance   | -3.22        |
|    learning_rate        | 1e-06        |
|    loss                 | 0.154        |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00462     |
|    std                  | 0.055        |
|    value_loss           | 0.28         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.68         |
| time/                   |              |
|    fps                  | 61           |
|    iterations           | 3            |
|    time_elapsed         | 242          |
|    total_timesteps      | 15000        |
| train/                  |              |
|    approx_kl            | 0.0013613417 |
|    clip_fraction        | 0.0115       |
|    clip_range           | 0.1          |
|    entropy_loss         | -31.1        |
|    explained_variance   | -2.94        |
|    learning_rate        | 1e-06        |
|    loss                 | 0.143        |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00387     |
|    std                  | 0.055        |
|    value_loss           | 0.252        |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 5             |
|    ep_rew_mean          | 0.682         |
| time/                   |               |
|    fps                  | 62            |
|    iterations           | 4             |
|    time_elapsed         | 319           |
|    total_timesteps      | 20000         |
| train/                  |               |
|    approx_kl            | 0.00089046493 |
|    clip_fraction        | 0.00446       |
|    clip_range           | 0.1           |
|    entropy_loss         | -31.1         |
|    explained_variance   | -2.77         |
|    learning_rate        | 1e-06         |
|    loss                 | 0.13          |
|    n_updates            | 60            |
|    policy_gradient_loss | -0.00344      |
|    std                  | 0.055         |
|    value_loss           | 0.237         |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.685        |
| time/                   |              |
|    fps                  | 62           |
|    iterations           | 5            |
|    time_elapsed         | 396          |
|    total_timesteps      | 25000        |
| train/                  |              |
|    approx_kl            | 0.0010430356 |
|    clip_fraction        | 0.0095       |
|    clip_range           | 0.1          |
|    entropy_loss         | -31.1        |
|    explained_variance   | -2.54        |
|    learning_rate        | 1e-06        |
|    loss                 | 0.141        |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.00346     |
|    std                  | 0.055        |
|    value_loss           | 0.221        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.676        |
| time/                   |              |
|    fps                  | 63           |
|    iterations           | 6            |
|    time_elapsed         | 474          |
|    total_timesteps      | 30000        |
| train/                  |              |
|    approx_kl            | 0.0014930852 |
|    clip_fraction        | 0.0186       |
|    clip_range           | 0.1          |
|    entropy_loss         | -31.1        |
|    explained_variance   | -2.33        |
|    learning_rate        | 1e-06        |
|    loss                 | 0.129        |
|    n_updates            | 100          |
|    policy_gradient_loss | -0.00421     |
|    std                  | 0.055        |
|    value_loss           | 0.207        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.683        |
| time/                   |              |
|    fps                  | 63           |
|    iterations           | 7            |
|    time_elapsed         | 551          |
|    total_timesteps      | 35000        |
| train/                  |              |
|    approx_kl            | 0.0011216076 |
|    clip_fraction        | 0.0116       |
|    clip_range           | 0.1          |
|    entropy_loss         | -31.1        |
|    explained_variance   | -2.11        |
|    learning_rate        | 1e-06        |
|    loss                 | 0.126        |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.00399     |
|    std                  | 0.055        |
|    value_loss           | 0.189        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.682        |
| time/                   |              |
|    fps                  | 63           |
|    iterations           | 8            |
|    time_elapsed         | 628          |
|    total_timesteps      | 40000        |
| train/                  |              |
|    approx_kl            | 0.0016552391 |
|    clip_fraction        | 0.0187       |
|    clip_range           | 0.1          |
|    entropy_loss         | -31.1        |
|    explained_variance   | -1.91        |
|    learning_rate        | 1e-06        |
|    loss                 | 0.105        |
|    n_updates            | 140          |
|    policy_gradient_loss | -0.00414     |
|    std                  | 0.055        |
|    value_loss           | 0.182        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.686        |
| time/                   |              |
|    fps                  | 63           |
|    iterations           | 9            |
|    time_elapsed         | 704          |
|    total_timesteps      | 45000        |
| train/                  |              |
|    approx_kl            | 0.0012325037 |
|    clip_fraction        | 0.0123       |
|    clip_range           | 0.1          |
|    entropy_loss         | -31.1        |
|    explained_variance   | -1.85        |
|    learning_rate        | 1e-06        |
|    loss                 | 0.103        |
|    n_updates            | 160          |
|    policy_gradient_loss | -0.0043      |
|    std                  | 0.055        |
|    value_loss           | 0.166        |
------------------------------------------
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 5            |
