Logging to ./data/ppo_1l/seed_3
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 5        |
|    ep_rew_mean     | 0.579    |
| time/              |          |
|    fps             | 11       |
|    iterations      | 1        |
|    time_elapsed    | 224      |
|    total_timesteps | 2500     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.585       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 2           |
|    time_elapsed         | 447         |
|    total_timesteps      | 5000        |
| train/                  |             |
|    approx_kl            | 0.006904635 |
|    clip_fraction        | 0.37        |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | -4.01       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0717      |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0324     |
|    std                  | 0.055       |
|    value_loss           | 0.0908      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.582       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 3           |
|    time_elapsed         | 671         |
|    total_timesteps      | 7500        |
| train/                  |             |
|    approx_kl            | 0.007847882 |
|    clip_fraction        | 0.375       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.0309      |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0576      |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0362     |
|    std                  | 0.055       |
|    value_loss           | 0.0251      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.583       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 4           |
|    time_elapsed         | 893         |
|    total_timesteps      | 10000       |
| train/                  |             |
|    approx_kl            | 0.007690532 |
|    clip_fraction        | 0.363       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.405       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0561      |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0351     |
|    std                  | 0.055       |
|    value_loss           | 0.017       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.581        |
| time/                   |              |
|    fps                  | 11           |
|    iterations           | 5            |
|    time_elapsed         | 1116         |
|    total_timesteps      | 12500        |
| train/                  |              |
|    approx_kl            | 0.0067730104 |
|    clip_fraction        | 0.403        |
|    clip_range           | 0.1          |
|    entropy_loss         | -94.8        |
|    explained_variance   | 0.445        |
|    learning_rate        | 1e-05        |
|    loss                 | 0.0504       |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.0377      |
|    std                  | 0.055        |
|    value_loss           | 0.0164       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.579        |
| time/                   |              |
|    fps                  | 11           |
|    iterations           | 6            |
|    time_elapsed         | 1339         |
|    total_timesteps      | 15000        |
| train/                  |              |
|    approx_kl            | 0.0073430496 |
|    clip_fraction        | 0.393        |
|    clip_range           | 0.1          |
|    entropy_loss         | -94.8        |
|    explained_variance   | 0.517        |
|    learning_rate        | 1e-05        |
|    loss                 | 0.0538       |
|    n_updates            | 100          |
|    policy_gradient_loss | -0.0365      |
|    std                  | 0.055        |
|    value_loss           | 0.0145       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.583        |
| time/                   |              |
|    fps                  | 11           |
|    iterations           | 7            |
|    time_elapsed         | 1565         |
|    total_timesteps      | 17500        |
| train/                  |              |
|    approx_kl            | 0.0086547965 |
|    clip_fraction        | 0.393        |
|    clip_range           | 0.1          |
|    entropy_loss         | -94.8        |
|    explained_variance   | 0.572        |
|    learning_rate        | 1e-05        |
|    loss                 | 0.0577       |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.0365      |
|    std                  | 0.055        |
|    value_loss           | 0.0129       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.585       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 8           |
|    time_elapsed         | 1792        |
|    total_timesteps      | 20000       |
| train/                  |             |
|    approx_kl            | 0.007964117 |
|    clip_fraction        | 0.388       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.591       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0545      |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.036      |
|    std                  | 0.055       |
|    value_loss           | 0.0125      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.578        |
| time/                   |              |
|    fps                  | 11           |
|    iterations           | 9            |
|    time_elapsed         | 2014         |
|    total_timesteps      | 22500        |
| train/                  |              |
|    approx_kl            | 0.0070697675 |
|    clip_fraction        | 0.392        |
|    clip_range           | 0.1          |
|    entropy_loss         | -94.8        |
|    explained_variance   | 0.635        |
|    learning_rate        | 1e-05        |
|    loss                 | 0.0538       |
|    n_updates            | 160          |
|    policy_gradient_loss | -0.0373      |
|    std                  | 0.055        |
|    value_loss           | 0.0112       |
------------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 5           |
|    mean_reward          | 0.614       |
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.583       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 10          |
|    time_elapsed         | 2262        |
|    total_timesteps      | 25000       |
| train/                  |             |
|    approx_kl            | 0.008580471 |
|    clip_fraction        | 0.404       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.666       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0463      |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0375     |
|    std                  | 0.055       |
|    value_loss           | 0.0102      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.586       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 11          |
|    time_elapsed         | 2486        |
|    total_timesteps      | 27500       |
| train/                  |             |
|    approx_kl            | 0.007514202 |
|    clip_fraction        | 0.383       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.665       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0486      |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.0367     |
|    std                  | 0.055       |
